Date,Open,High,Low,Close,Adj Close,Volume
2015-07-17,28.545500,28.727301,28.190901,31.189951,26.182781,7240860
2015-07-20,28.381800,28.472700,28.027300,30.999981,26.023306,9700460
2015-07-21,28.190901,28.336399,27.772699,30.739941,25.805010,9964570
2015-07-22,27.736401,27.872700,27.218201,30.260010,25.402132,14377550
2015-07-23,27.681801,27.681801,26.272699,28.999960,24.344366,26583040
2015-07-24,26.272699,26.318199,25.600000,28.869940,24.235216,28149880
2015-07-27,26.136400,26.563601,26.009100,28.809992,24.184896,17253390
2015-07-28,26.636400,27.090900,25.909100,29.339972,24.629793,22782540
2015-07-29,26.581800,27.090900,26.454500,29.630039,24.873289,15042940
2015-07-30,27.072701,27.090900,26.381800,29.260000,24.562658,8355050
2015-07-31,26.827299,27.345400,26.754601,30.079941,25.250971,14573900
2015-08-03,27.181801,27.363600,26.845400,29.920002,25.130487,14279980
2015-08-04,27.218201,27.218201,26.281799,29.200050,24.525785,30066080
2015-08-05,26.818199,27.063601,26.372700,29.150002,24.483749,13411200
2015-08-06,26.354500,26.681801,26.090900,29.040001,24.391354,18765450
2015-08-07,26.181801,26.400000,25.500000,28.190031,23.677448,16505280
2015-08-10,25.827299,26.154600,25.572701,28.559961,23.988161,16206630
2015-08-11,25.909100,26.036400,25.490900,28.500010,23.937803,12708190
2015-08-12,25.609100,25.618200,24.963600,27.679962,23.249027,28776110
2015-08-13,25.027300,25.090900,24.090900,26.699970,22.738565,29891950
2015-08-14,24.427299,24.481800,23.927299,26.669941,22.712992,25070540
2015-08-17,24.200001,24.790899,23.990900,26.389990,22.474579,14748910
2015-08-18,24.027300,25.163601,23.545500,26.829990,22.849300,33180070
2015-08-19,24.100000,24.254601,23.545500,26.279989,22.380898,18786790
2015-08-20,23.609100,24.272699,23.472700,26.339941,22.431961,19097540
2015-08-21,23.681801,24.309099,23.518200,26.400002,22.483107,23376100
2015-08-24,22.718201,24.181801,22.472700,25.860010,22.023230,30866220
2015-08-25,24.354500,24.436399,23.318199,25.809961,21.980608,28212030
2015-08-26,23.772699,24.881800,23.536400,27.369980,23.309168,30064980
2015-08-27,25.109100,26.136400,25.090900,28.339960,24.135237,26713280
2015-08-28,25.454500,26.000000,24.745399,27.530031,23.445473,18243390
2015-08-31,24.400000,24.472700,23.836399,26.550041,22.610888,26847150
2015-09-01,23.563601,23.990900,23.418200,25.919962,22.088013,18435780
2015-09-02,23.872700,24.118200,23.490900,26.530022,22.607887,13910820
2015-09-03,24.254601,25.036400,23.872700,27.540041,23.468584,28601430
2015-09-04,24.436399,24.709101,24.018200,26.420021,22.514145,25945260
2015-09-08,24.018200,24.590900,24.018200,26.709980,22.761240,11495110
2015-09-09,24.636400,25.227301,24.472700,27.010061,23.016958,18786680
2015-09-10,23.636400,24.490900,23.636400,26.469961,22.556702,29494850
2015-09-11,24.000000,24.109100,23.772699,26.520012,22.599356,20822340
2015-09-14,24.263599,25.100000,23.909100,27.589981,23.511143,21259260
2015-09-15,24.890900,25.872700,24.890900,28.270002,24.090624,24093630
2015-09-16,25.909100,26.454500,25.818199,28.740030,24.491173,27139860
2015-09-17,25.936399,26.827299,25.881800,28.989950,24.704142,21785720
2015-09-18,26.000000,26.363600,25.100000,27.850019,23.732738,31197100
2015-09-21,25.272699,25.490900,24.563601,27.230061,23.204432,17033170
2015-09-22,24.472700,25.190901,24.036400,27.489990,23.425934,20898570
2015-09-23,24.945400,25.172701,24.000000,26.400002,22.497084,17649500
2015-09-24,23.281799,24.418200,22.909100,26.699970,22.752712,32515560
2015-09-25,24.590900,24.809099,23.554600,26.049982,22.198811,14405930
2015-09-28,23.481800,23.863600,23.218201,26.029961,22.181753,17544450
2015-09-29,23.700001,23.963600,23.518200,25.919962,22.088013,13661340
2015-09-30,24.154600,24.272699,23.427299,26.510000,22.590820,25813810
2015-10-01,24.090900,24.600000,23.890900,26.880039,22.920422,13776950
2015-10-02,24.236401,25.427299,24.136400,27.970030,23.849850,21914750
2015-10-05,25.772699,26.363600,25.672701,28.559961,24.352886,17761150
2015-10-06,25.727301,26.318199,25.709101,28.820002,24.574614,17596040
